,City,State,share_white,share_black,poverty_rate,income,protest_rate
984,Middlebury,VT,88.4,1.7,12.8,49414.0,0.04555808656036447
985,Montpelier,VT,93.7,1.0,11.1,61588.0,0.01356483993488877
986,Randolph,VT,96.7,0.4,19.3,44853.0,0.054537521815008726
987,Rutland,VT,95.9,0.8,17.1,41345.0,0.03980363539869975
988,Rutland,VT,95.9,0.8,17.1,41345.0,0.14584346135148274
989,St.Albans,VT,94.2,0.8,14.8,44013.0,0.022055580061755627
990,St.Albans,VT,94.2,0.8,14.8,44013.0,0.023073373327180437
991,St.Johnsbury,VT,95.3,0.9,12.0,36693.0,0.027944669554282518
992,Waitsfield,VT,98.8,0.0,0.0,40724.0,0.059066745422327226
993,Wilmington,VT,98.1,0.2,4.1,41394.0,0.0556792873051225
994,Bellingham,WA,84.9,1.3,23.0,43536.0,0.003038542366271638
995,BonneyLake,WA,88.8,1.3,9.1,80967.0,0.0005201437488178551
996,Bremerton,WA,74.0,6.7,21.5,45658.0,0.004830334500664171
997,Burien,WA,63.5,5.9,18.2,53712.0,0.019417475728155338
998,Camas,WA,87.4,1.0,3.7,90136.0,0.008190679007289705
999,Centralia,WA,85.1,0.6,24.0,37100.0,0.0011834319526627221
1000,Chehalis,WA,87.0,1.7,20.1,34379.0,0.039195192056441085
1001,Duvall,WA,89.7,0.4,7.5,117674.0,0.01110151720735167
1002,Edmonds,WA,83.4,2.6,8.3,75044.0,0.02347142354183781
1003,Ellensburg,WA,85.7,1.5,38.5,29952.0,0.04736867036142296
1004,Everett,WA,74.6,4.1,17.6,49578.0,0.004754429244225164
1005,FridayHarbor,WA,83.1,0.3,12.5,44036.0,0.1366120218579235
1006,Grandview,WA,55.2,0.9,23.2,38990.0,0.0037010290666185225
1007,GraniteFalls,WA,87.6,0.7,7.1,58490.0,0.04723665564478035
1008,Kennewick,WA,78.5,1.7,18.1,51661.0,0.005449709730834134
1009,Kirkland,WA,79.3,1.8,6.3,92127.0,0.00022578217395978926
1010,LakeStevens,WA,85.1,1.7,9.0,74159.0,0.0058977912771667005
1011,Leavenworth,WA,92.9,0.4,14.4,43447.0,0.6407097092163627
1012,Longview,WA,86.0,0.9,22.7,38498.0,0.001951092611862643
1013,Lynnwood,WA,63.8,5.5,16.0,50554.0,0.015329194450831609
1014,MercerIsland,WA,77.9,1.3,4.5,126106.0,0.0077237970186143515
1015,Monroe,WA,78.6,3.5,10.2,67844.0,0.01011326860841424
1016,MosesLake,WA,76.4,1.6,14.6,48174.0,0.012455368263721664
1017,MountVernon,WA,72.8,1.0,21.9,47308.0,0.005554629783924903
1018,MountlakeTerrace,WA,71.7,4.3,7.8,65069.0,0.004733339581966445
1019,Mukilteo,WA,74.9,1.7,4.8,94863.0,0.01165990392239168
1020,Newcastle,WA,65.4,2.6,4.8,111967.0,0.005043931012040351
1021,NormandyPark,WA,86.4,0.8,1.5,89736.0,0.015445184736523319
1022,NorthBend,WA,90.7,0.5,15.0,82243.0,0.06735821096591675
1023,OakHarbor,WA,72.6,4.9,13.1,46621.0,0.012730744748567792
1024,Olympia,WA,83.7,2.0,17.7,53617.0,0.002042282818350289
1025,Pasco,WA,55.8,1.9,18.8,55319.0,0.0015245519143069256
1026,Pullman,WA,79.3,2.3,42.5,26228.0,0.005752622732278443
1027,Quincy,WA,54.9,0.4,24.6,48222.0,0.0001244864932154861
1028,Raymond,WA,75.9,0.9,25.6,32475.0,0.01569806279225117
1029,Redmond,WA,65.2,1.7,7.1,103409.0,0.002488565112819586
1030,Renton,WA,54.6,10.6,12.2,64802.0,0.0008746842782871912
1031,Richland,WA,87.0,1.4,10.6,67483.0,0.004293688278230999
1032,Ridgefield,WA,92.4,0.9,7.9,79243.0,0.02185075931388616
1033,Roslyn,WA,95.1,0.4,14.6,52750.0,0.10438413361169102
1034,Seattle,WA,69.5,7.9,13.5,70594.0,0.010328875688612977
1035,Selah,WA,85.8,0.5,11.1,49415.0,0.01174724867070607
1036,Snohomish,WA,89.0,0.5,12.7,55648.0,0.039393342525113256
1037,Spokane,WA,86.7,2.3,19.9,42386.0,0.0033936566688130307
1038,Stanwood,WA,89.7,1.0,13.9,53919.0,0.0024015369836695487
1039,Tacoma,WA,64.9,11.2,18.0,52042.0,0.0015957617742520444
1040,Tumwater,WA,85.0,1.7,12.3,56512.0,0.008325008325008326
1041,Vancouver,WA,80.9,2.9,14.8,50626.0,0.0007210118018247561
1042,Wenatchee,WA,76.7,0.4,14.0,46865.0,0.0040842064415987575
1043,Yakima,WA,67.1,1.7,23.0,40726.0,0.0016019308606640538
1044,Amery,WI,97.3,0.1,5.3,38673.0,0.012446657183499287
1045,Appleton,WI,87.5,1.7,11.9,53588.0,0.01349564090798672
1046,Appleton,WI,87.5,1.7,11.9,53588.0,0.09152480322167307
